C125.9,34
C250.9,44
C500.9,57
C1000.9,68
C2000.9,80
DSJC1000_5,15
DSJC500_5,13
C2000.5,16
C4000.5,18
MANN_a27,126
MANN_a45,345
MANN_a81,1100
brock200_2,12
brock200_4,17
brock400_2,29
brock400_4,33
brock800_2,24
brock800_4,26
gen200_p0.9_44,44
gen200_p0.9_55,55
gen400_p0.9_55,55
gen400_p0.9_65,65
gen400_p0.9_75,75
hamming10-4,40
hamming8-4,16
keller4,11
keller5,27
keller6,59
p_hat300-1,8
p_hat300-2,25
p_hat300-3,36
p_hat700-1,11
p_hat700-2,44
p_hat700-3,62
p_hat1500-1,12
p_hat1500-2,65
p_hat1500-3,94
